,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
0,30002.0,0.5529509502277088,0.9008213238514855,0.3155037025430308,0.1033595669543934,0.5130540418969167,0.7842857161550786,0.7842857161550786,0.4525386153602978,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
1,30004.0,0.2768959343552792,0.8058338247396377,0.9994581811203578,0.0768660452604529,0.8729071623953449,0.4692857160947328,0.4692857160947329,0.1702557099955652,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
2,30005.0,0.3205831949598149,0.7101310746171048,0.8617297901377517,0.1153528375683775,0.501696354743136,0.8421428561986073,0.8421428561986074,0.49095021616311546,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
3,30006.0,0.4648232418961557,0.9893963329571449,0.8895718055150366,0.0792208985984395,0.7410462072242983,0.6745868140563755,0.6745868140563755,0.0003073016224281837,8.0,10.0,5.0,10.0,3.0,25.0,0.0,18.0,41.0,31.0,44.0,57.0,30.0,4.0
4,30008.0,0.3251177869162705,0.5822519257303093,0.6927098441068518,0.1725848032860475,0.677591436153306,0.511071424428576,0.5110714244285761,0.31436571152522497,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
5,30009.0,0.4895738571064396,0.7210436151361144,0.6367060862812857,0.1270228616930065,0.5787577603048671,0.6179285678614092,0.6179285678614093,0.3726241588889442,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
6,30010.0,0.419273206163381,0.6879831073440233,0.7419902917895216,0.1257778890022537,0.5524632144967857,0.7442857181340926,0.7442857181340927,0.3472998027625257,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
7,30011.0,0.3825255893456694,0.8783898394651879,0.9209316606391144,0.10446386522336,0.3793222715044309,0.6885714297076718,0.6885714297076718,0.7668195662526063,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
8,30013.0,0.3186032318511019,0.5944617681977196,0.612884857421496,0.0873380843520618,0.3993633230287026,0.5796428540942019,0.5796428540942018,0.6387708790830727,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
9,30014.0,0.4070279594756171,0.9961781622749921,0.9290324979383473,0.0722054798282495,0.4521428570804274,1.0,0.9521428570804275,1.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
